year,team,coach_name,coach_tenure,is_first_year_coach
2015,Missouri,,5,0
2016,Missouri,,6,0
2017,Missouri,,7,0
2018,Missouri,,8,0
2019,Missouri,,9,0
2020,Missouri,,10,0
2021,Missouri,,11,0
2022,Missouri,,12,0
2023,Missouri,,13,0
2024,Missouri,,14,0
2025,Missouri,,15,0
2025,Missouri State,,0,1
2015,NC State,,5,0
2016,NC State,,6,0
2017,NC State,,7,0
2018,NC State,,8,0
2019,NC State,,9,0
2020,NC State,,10,0
2021,NC State,,11,0
2022,NC State,,12,0
2023,NC State,,13,0
2024,NC State,,14,0
2025,NC State,,15,0
2015,Navy,,5,0
2016,Navy,,6,0
2017,Navy,,7,0
2018,Navy,,8,0
2019,Navy,,9,0
2020,Navy,,10,0
2021,Navy,,11,0
2022,Navy,,12,0
2023,Navy,,13,0
2024,Navy,,14,0
2025,Navy,,15,0
2015,Nebraska,,5,0
2016,Nebraska,,6,0
2017,Nebraska,,7,0
2018,Nebraska,,8,0
2019,Nebraska,,9,0
2020,Nebraska,,10,0
2021,Nebraska,,11,0
2022,Nebraska,,12,0
2023,Nebraska,,13,0
2024,Nebraska,,14,0
2025,Nebraska,,15,0
2015,Nevada,,5,0
2016,Nevada,,6,0
2017,Nevada,,7,0
2018,Nevada,,8,0
2019,Nevada,,9,0
2020,Nevada,,10,0
2021,Nevada,,11,0
2022,Nevada,,12,0
2023,Nevada,,13,0
2024,Nevada,,14,0
2025,Nevada,,15,0
2015,New Mexico,,5,0
2016,New Mexico,,6,0
2017,New Mexico,,7,0
2018,New Mexico,,8,0
2019,New Mexico,,9,0
2020,New Mexico,,10,0
2021,New Mexico,,11,0
2022,New Mexico,,12,0
2023,New Mexico,,13,0
2024,New Mexico,,14,0
2025,New Mexico,,15,0
2015,New Mexico State,,5,0
2016,New Mexico State,,6,0
2017,New Mexico State,,7,0
2018,New Mexico State,,8,0
2019,New Mexico State,,9,0
2020,New Mexico State,,10,0
2021,New Mexico State,,11,0
2022,New Mexico State,,12,0
2023,New Mexico State,,13,0
2024,New Mexico State,,14,0
2025,New Mexico State,,15,0
2015,North Carolina,,5,0
2016,North Carolina,,6,0
2017,North Carolina,,7,0
2018,North Carolina,,8,0
2019,North Carolina,,9,0
2020,North Carolina,,10,0
2021,North Carolina,,11,0
2022,North Carolina,,12,0
2023,North Carolina,,13,0
2024,North Carolina,,14,0
2025,North Carolina,,15,0
2015,North Texas,,5,0
2016,North Texas,,6,0
2017,North Texas,,7,0
2018,North Texas,,8,0
2019,North Texas,,9,0
2020,North Texas,,10,0
2021,North Texas,,11,0
2022,North Texas,,12,0
2023,North Texas,,13,0
2024,North Texas,,14,0
2025,North Texas,,15,0
2015,Northern Illinois,,5,0
2016,Northern Illinois,,6,0
2017,Northern Illinois,,7,0
2018,Northern Illinois,,8,0
2019,Northern Illinois,,9,0
2020,Northern Illinois,,10,0
2021,Northern Illinois,,11,0
2022,Northern Illinois,,12,0
2023,Northern Illinois,,13,0
2024,Northern Illinois,,14,0
2025,Northern Illinois,,15,0
2015,Northwestern,,5,0
2016,Northwestern,,6,0
2017,Northwestern,,7,0
2018,Northwestern,,8,0
2019,Northwestern,,9,0
2020,Northwestern,,10,0
2021,Northwestern,,11,0
2022,Northwestern,,12,0
2023,Northwestern,,13,0
2024,Northwestern,,14,0
2025,Northwestern,,15,0
2015,Notre Dame,,5,0
2016,Notre Dame,,6,0
2017,Notre Dame,,7,0
2018,Notre Dame,,8,0
2019,Notre Dame,,9,0
2020,Notre Dame,,10,0
2021,Notre Dame,,11,0
2022,Notre Dame,,12,0
2023,Notre Dame,,13,0
2024,Notre Dame,,14,0
2025,Notre Dame,,15,0
2015,Ohio,,5,0
2016,Ohio,,6,0
2017,Ohio,,7,0
2018,Ohio,,8,0
2019,Ohio,,9,0
2020,Ohio,,10,0
2021,Ohio,,11,0
2022,Ohio,,12,0
2023,Ohio,,13,0
2024,Ohio,,14,0
2025,Ohio,,15,0
2015,Ohio State,,5,0
2016,Ohio State,,6,0
2017,Ohio State,,7,0
2018,Ohio State,,8,0
2019,Ohio State,,9,0
2020,Ohio State,,10,0
2021,Ohio State,,11,0
2022,Ohio State,,12,0
2023,Ohio State,,13,0
2024,Ohio State,,14,0
2025,Ohio State,,15,0
2015,Oklahoma,,5,0
2016,Oklahoma,,6,0
2017,Oklahoma,,7,0
2018,Oklahoma,,8,0
2019,Oklahoma,,9,0
2020,Oklahoma,,10,0
2021,Oklahoma,,11,0
2022,Oklahoma,,12,0
2023,Oklahoma,,13,0
2024,Oklahoma,,14,0
2025,Oklahoma,,15,0
2015,Oklahoma State,,5,0
2016,Oklahoma State,,6,0
2017,Oklahoma State,,7,0
2018,Oklahoma State,,8,0
2019,Oklahoma State,,9,0
2020,Oklahoma State,,10,0
2021,Oklahoma State,,11,0
2022,Oklahoma State,,12,0
2023,Oklahoma State,,13,0
2024,Oklahoma State,,14,0
2025,Oklahoma State,,15,0
2015,Old Dominion,,1,0
2016,Old Dominion,,2,0
2017,Old Dominion,,3,0
2018,Old Dominion,,4,0
2019,Old Dominion,,5,0
2020,Old Dominion,,6,0
2021,Old Dominion,,7,0
2022,Old Dominion,,8,0
2023,Old Dominion,,9,0
2024,Old Dominion,,10,0
2025,Old Dominion,,11,0
2015,Ole Miss,,5,0
2016,Ole Miss,,6,0
2017,Ole Miss,,7,0
2018,Ole Miss,,8,0
2019,Ole Miss,,9,0
2020,Ole Miss,,10,0
2021,Ole Miss,,11,0
2022,Ole Miss,,12,0
2023,Ole Miss,,13,0
2024,Ole Miss,,14,0
2025,Ole Miss,,15,0
2015,Oregon,,5,0
2016,Oregon,,6,0
2017,Oregon,,7,0
2018,Oregon,,8,0
2019,Oregon,,9,0
2020,Oregon,,10,0
2021,Oregon,,11,0
2022,Oregon,,12,0
2023,Oregon,,13,0
2024,Oregon,,14,0
2025,Oregon,,15,0
2015,Oregon State,,5,0
2016,Oregon State,,6,0
2017,Oregon State,,7,0
2018,Oregon State,,8,0
2019,Oregon State,,9,0
2020,Oregon State,,10,0
2021,Oregon State,,11,0
2022,Oregon State,,12,0
2023,Oregon State,,13,0
2024,Oregon State,,14,0
2025,Oregon State,,15,0
2015,Penn State,,5,0
2016,Penn State,,6,0
2017,Penn State,,7,0
2018,Penn State,,8,0
2019,Penn State,,9,0
2020,Penn State,,10,0
2021,Penn State,,11,0
2022,Penn State,,12,0
2023,Penn State,,13,0
2024,Penn State,,14,0
2025,Penn State,,15,0
2015,Pittsburgh,,5,0
2016,Pittsburgh,,6,0
2017,Pittsburgh,,7,0
2018,Pittsburgh,,8,0
2019,Pittsburgh,,9,0
2020,Pittsburgh,,10,0
2021,Pittsburgh,,11,0
2022,Pittsburgh,,12,0
2023,Pittsburgh,,13,0
2024,Pittsburgh,,14,0
2025,Pittsburgh,,15,0
2015,Purdue,,5,0
2016,Purdue,,6,0
2017,Purdue,,7,0
2018,Purdue,,8,0
2019,Purdue,,9,0
2020,Purdue,,10,0
2021,Purdue,,11,0
2022,Purdue,,12,0
2023,Purdue,,13,0
2024,Purdue,,14,0
2025,Purdue,,15,0
2015,Rice,,5,0
2016,Rice,,6,0
2017,Rice,,7,0
2018,Rice,,8,0
2019,Rice,,9,0
2020,Rice,,10,0
2021,Rice,,11,0
2022,Rice,,12,0
2023,Rice,,13,0
2024,Rice,,14,0
2025,Rice,,15,0
2015,Rutgers,,5,0
2016,Rutgers,,6,0
2017,Rutgers,,7,0
2018,Rutgers,,8,0
2019,Rutgers,,9,0
2020,Rutgers,,10,0
2021,Rutgers,,11,0
2022,Rutgers,,12,0
2023,Rutgers,,13,0
2024,Rutgers,,14,0
2025,Rutgers,,15,0
2015,SMU,,5,0
2016,SMU,,6,0
2017,SMU,,7,0
2018,SMU,,8,0
2019,SMU,,9,0
2020,SMU,,10,0
2021,SMU,,11,0
2022,SMU,,12,0
2023,SMU,,13,0
2024,SMU,,14,0
2025,SMU,,15,0
2023,Sam Houston,,0,1
2024,Sam Houston,,1,0
2025,Sam Houston,,2,0
2015,San Diego State,,5,0
2016,San Diego State,,6,0
2017,San Diego State,,7,0
2018,San Diego State,,8,0
2019,San Diego State,,9,0
2020,San Diego State,,10,0
2021,San Diego State,,11,0
2022,San Diego State,,12,0
2023,San Diego State,,13,0
2024,San Diego State,,14,0
2025,San Diego State,,15,0
2015,San José State,,5,0
2016,San José State,,6,0
2017,San José State,,7,0
2018,San José State,,8,0
2019,San José State,,9,0
2020,San José State,,10,0
2021,San José State,,11,0
2022,San José State,,12,0
2023,San José State,,13,0
2024,San José State,,14,0
2025,San José State,,15,0
2015,South Alabama,,3,0
2016,South Alabama,,4,0
2017,South Alabama,,5,0
2018,South Alabama,,6,0
2019,South Alabama,,7,0
2020,South Alabama,,8,0
2021,South Alabama,,9,0
2022,South Alabama,,10,0
2023,South Alabama,,11,0
2024,South Alabama,,12,0
2025,South Alabama,,13,0
2015,South Carolina,,5,0
2016,South Carolina,,6,0
2017,South Carolina,,7,0
2018,South Carolina,,8,0
2019,South Carolina,,9,0
2020,South Carolina,,10,0
2021,South Carolina,,11,0
2022,South Carolina,,12,0
2023,South Carolina,,13,0
2024,South Carolina,,14,0
2025,South Carolina,,15,0
2015,South Florida,,5,0
2016,South Florida,,6,0
2017,South Florida,,7,0
2018,South Florida,,8,0
2019,South Florida,,9,0
2020,South Florida,,10,0
2021,South Florida,,11,0
2022,South Florida,,12,0
2023,South Florida,,13,0
2024,South Florida,,14,0
2025,South Florida,,15,0
2015,Southern Miss,,5,0
2016,Southern Miss,,6,0
2017,Southern Miss,,7,0
2018,Southern Miss,,8,0
2019,Southern Miss,,9,0
2020,Southern Miss,,10,0
2021,Southern Miss,,11,0
2022,Southern Miss,,12,0
2023,Southern Miss,,13,0
2024,Southern Miss,,14,0
2025,Southern Miss,,15,0
2015,Stanford,,5,0
2016,Stanford,,6,0
2017,Stanford,,7,0
2018,Stanford,,8,0
2019,Stanford,,9,0
2020,Stanford,,10,0
2021,Stanford,,11,0
2022,Stanford,,12,0
2023,Stanford,,13,0
2024,Stanford,,14,0
2025,Stanford,,15,0
2015,Syracuse,,5,0
2016,Syracuse,,6,0
2017,Syracuse,,7,0
2018,Syracuse,,8,0
2019,Syracuse,,9,0
2020,Syracuse,,10,0
2021,Syracuse,,11,0
2022,Syracuse,,12,0
2023,Syracuse,,13,0
2024,Syracuse,,14,0
2025,Syracuse,,15,0
2015,TCU,,5,0
2016,TCU,,6,0
2017,TCU,,7,0
2018,TCU,,8,0
2019,TCU,,9,0
2020,TCU,,10,0
2021,TCU,,11,0
2022,TCU,,12,0
2023,TCU,,13,0
2024,TCU,,14,0
2025,TCU,,15,0
2015,Temple,,5,0
2016,Temple,,6,0
2017,Temple,,7,0
2018,Temple,,8,0
2019,Temple,,9,0
2020,Temple,,10,0
2021,Temple,,11,0
2022,Temple,,12,0
2023,Temple,,13,0
2024,Temple,,14,0
2025,Temple,,15,0
2015,Tennessee,,5,0
2016,Tennessee,,6,0
2017,Tennessee,,7,0
2018,Tennessee,,8,0
2019,Tennessee,,9,0
2020,Tennessee,,10,0
2021,Tennessee,,11,0
2022,Tennessee,,12,0
2023,Tennessee,,13,0
2024,Tennessee,,14,0
2025,Tennessee,,15,0
2015,Texas,,5,0
2016,Texas,,6,0
2017,Texas,,7,0
2018,Texas,,8,0
2019,Texas,,9,0
2020,Texas,,10,0
2021,Texas,,11,0
2022,Texas,,12,0
2023,Texas,,13,0
2024,Texas,,14,0
2025,Texas,,15,0
2015,Texas A&M,,5,0
2016,Texas A&M,,6,0
2017,Texas A&M,,7,0
2018,Texas A&M,,8,0
2019,Texas A&M,,9,0
2020,Texas A&M,,10,0
2021,Texas A&M,,11,0
2022,Texas A&M,,12,0
2023,Texas A&M,,13,0
2024,Texas A&M,,14,0
2025,Texas A&M,,15,0
2015,Texas State,,3,0
2016,Texas State,,4,0
2017,Texas State,,5,0
2018,Texas State,,6,0
2019,Texas State,,7,0
2020,Texas State,,8,0
2021,Texas State,,9,0
2022,Texas State,,10,0
2023,Texas State,,11,0
2024,Texas State,,12,0
2025,Texas State,,13,0
2015,Texas Tech,,5,0
2016,Texas Tech,,6,0
2017,Texas Tech,,7,0
2018,Texas Tech,,8,0
2019,Texas Tech,,9,0
2020,Texas Tech,,10,0
2021,Texas Tech,,11,0
2022,Texas Tech,,12,0
2023,Texas Tech,,13,0
2024,Texas Tech,,14,0
2025,Texas Tech,,15,0
2015,Toledo,,5,0
2016,Toledo,,6,0
2017,Toledo,,7,0
2018,Toledo,,8,0
2019,Toledo,,9,0
2020,Toledo,,10,0
2021,Toledo,,11,0
2022,Toledo,,12,0
2023,Toledo,,13,0
2024,Toledo,,14,0
2025,Toledo,,15,0
2015,Troy,,5,0
2016,Troy,,6,0
2017,Troy,,7,0
2018,Troy,,8,0
2019,Troy,,9,0
2020,Troy,,10,0
2021,Troy,,11,0
2022,Troy,,12,0
2023,Troy,,13,0
2024,Troy,,14,0
2025,Troy,,15,0
2015,Tulane,,5,0
2016,Tulane,,6,0
2017,Tulane,,7,0
2018,Tulane,,8,0
2019,Tulane,,9,0
2020,Tulane,,10,0
2021,Tulane,,11,0
2022,Tulane,,12,0
2023,Tulane,,13,0
2024,Tulane,,14,0
2025,Tulane,,15,0
2015,Tulsa,,5,0
2016,Tulsa,,6,0
2017,Tulsa,,7,0
2018,Tulsa,,8,0
2019,Tulsa,,9,0
2020,Tulsa,,10,0
2021,Tulsa,,11,0
2022,Tulsa,,12,0
2023,Tulsa,,13,0
2024,Tulsa,,14,0
2025,Tulsa,,15,0
2017,UAB,,5,0
2018,UAB,,6,0
2019,UAB,,7,0
2020,UAB,,8,0
2021,UAB,,9,0
2022,UAB,,10,0
2023,UAB,,11,0
2024,UAB,,12,0
2025,UAB,,13,0
2015,UCF,,5,0
2016,UCF,,6,0
2017,UCF,,7,0
2018,UCF,,8,0
2019,UCF,,9,0
2020,UCF,,10,0
2021,UCF,,11,0
2022,UCF,,12,0
2023,UCF,,13,0
2024,UCF,,14,0
2025,UCF,,15,0
2015,UCLA,,5,0
2016,UCLA,,6,0
2017,UCLA,,7,0
2018,UCLA,,8,0
2019,UCLA,,9,0
2020,UCLA,,10,0
2021,UCLA,,11,0
2022,UCLA,,12,0
2023,UCLA,,13,0
2024,UCLA,,14,0
2025,UCLA,,15,0
2015,UConn,,5,0
2016,UConn,,6,0
2017,UConn,,7,0
2018,UConn,,8,0
2019,UConn,,9,0
2020,UConn,,10,0
2021,UConn,,11,0
2022,UConn,,12,0
2023,UConn,,13,0
2024,UConn,,14,0
2025,UConn,,15,0
2015,UL Monroe,,5,0
2016,UL Monroe,,6,0
2017,UL Monroe,,7,0
2018,UL Monroe,,8,0
2019,UL Monroe,,9,0
2020,UL Monroe,,10,0
2021,UL Monroe,,11,0
2022,UL Monroe,,12,0
2023,UL Monroe,,13,0
2024,UL Monroe,,14,0
2025,UL Monroe,,15,0
2015,UNLV,,5,0
2016,UNLV,,6,0
2017,UNLV,,7,0
2018,UNLV,,8,0
2019,UNLV,,9,0
2020,UNLV,,10,0
2021,UNLV,,11,0
2022,UNLV,,12,0
2023,UNLV,,13,0
2024,UNLV,,14,0
2025,UNLV,,15,0
2015,USC,,5,0
2016,USC,,6,0
2017,USC,,7,0
2018,USC,,8,0
2019,USC,,9,0
2020,USC,,10,0
2021,USC,,11,0
2022,USC,,12,0
2023,USC,,13,0
2024,USC,,14,0
2025,USC,,15,0
2015,UTEP,,5,0
2016,UTEP,,6,0
2017,UTEP,,7,0
2018,UTEP,,8,0
2019,UTEP,,9,0
2020,UTEP,,10,0
2021,UTEP,,11,0
2022,UTEP,,12,0
2023,UTEP,,13,0
2024,UTEP,,14,0
2025,UTEP,,15,0
2015,UTSA,,3,0
2016,UTSA,,4,0
2017,UTSA,,5,0
2018,UTSA,,6,0
2019,UTSA,,7,0
2020,UTSA,,8,0
2021,UTSA,,9,0
2022,UTSA,,10,0
2023,UTSA,,11,0
2024,UTSA,,12,0
2025,UTSA,,13,0
2015,Utah,,5,0
2016,Utah,,6,0
2017,Utah,,7,0
2018,Utah,,8,0
2019,Utah,,9,0
2020,Utah,,10,0
2021,Utah,,11,0
2022,Utah,,12,0
2023,Utah,,13,0
2024,Utah,,14,0
2025,Utah,,15,0
2015,Utah State,,5,0
2016,Utah State,,6,0
2017,Utah State,,7,0
2018,Utah State,,8,0
2019,Utah State,,9,0
2020,Utah State,,10,0
2021,Utah State,,11,0
2022,Utah State,,12,0
2023,Utah State,,13,0
2024,Utah State,,14,0
2025,Utah State,,15,0
2015,Vanderbilt,,5,0
2016,Vanderbilt,,6,0
2017,Vanderbilt,,7,0
2018,Vanderbilt,,8,0
2019,Vanderbilt,,9,0
2020,Vanderbilt,,10,0
2021,Vanderbilt,,11,0
2022,Vanderbilt,,12,0
2023,Vanderbilt,,13,0
2024,Vanderbilt,,14,0
2025,Vanderbilt,,15,0
2015,Virginia,,5,0
2016,Virginia,,6,0
2017,Virginia,,7,0
2018,Virginia,,8,0
2019,Virginia,,9,0
2020,Virginia,,10,0
2021,Virginia,,11,0
2022,Virginia,,12,0
2023,Virginia,,13,0
2024,Virginia,,14,0
2025,Virginia,,15,0
2015,Virginia Tech,,5,0
2016,Virginia Tech,,6,0
2017,Virginia Tech,,7,0
2018,Virginia Tech,,8,0
2019,Virginia Tech,,9,0
2020,Virginia Tech,,10,0
2021,Virginia Tech,,11,0
2022,Virginia Tech,,12,0
2023,Virginia Tech,,13,0
2024,Virginia Tech,,14,0
2025,Virginia Tech,,15,0
2015,Wake Forest,,5,0
2016,Wake Forest,,6,0
2017,Wake Forest,,7,0
2018,Wake Forest,,8,0
2019,Wake Forest,,9,0
2020,Wake Forest,,10,0
2021,Wake Forest,,11,0
2022,Wake Forest,,12,0
2023,Wake Forest,,13,0
2024,Wake Forest,,14,0
2025,Wake Forest,,15,0
2015,Washington,,5,0
2016,Washington,,6,0
2017,Washington,,7,0
2018,Washington,,8,0
2019,Washington,,9,0
2020,Washington,,10,0
2021,Washington,,11,0
2022,Washington,,12,0
2023,Washington,,13,0
2024,Washington,,14,0
2025,Washington,,15,0
2015,Washington State,,5,0
2016,Washington State,,6,0
2017,Washington State,,7,0
2018,Washington State,,8,0
2019,Washington State,,9,0
2020,Washington State,,10,0
2021,Washington State,,11,0
2022,Washington State,,12,0
2023,Washington State,,13,0
2024,Washington State,,14,0
2025,Washington State,,15,0
2015,West Virginia,,5,0
2016,West Virginia,,6,0
2017,West Virginia,,7,0
2018,West Virginia,,8,0
2019,West Virginia,,9,0
2020,West Virginia,,10,0
2021,West Virginia,,11,0
2022,West Virginia,,12,0
2023,West Virginia,,13,0
2024,West Virginia,,14,0
2025,West Virginia,,15,0
2015,Western Kentucky,,5,0
2016,Western Kentucky,,6,0
2017,Western Kentucky,,7,0
2018,Western Kentucky,,8,0
2019,Western Kentucky,,9,0
2020,Western Kentucky,,10,0
2021,Western Kentucky,,11,0
2022,Western Kentucky,,12,0
2023,Western Kentucky,,13,0
2024,Western Kentucky,,14,0
2025,Western Kentucky,,15,0
2015,Western Michigan,,5,0
2016,Western Michigan,,6,0
2017,Western Michigan,,7,0
2018,Western Michigan,,8,0
2019,Western Michigan,,9,0
2020,Western Michigan,,10,0
2021,Western Michigan,,11,0
2022,Western Michigan,,12,0
2023,Western Michigan,,13,0
2024,Western Michigan,,14,0
2025,Western Michigan,,15,0
2015,Wisconsin,,5,0
2016,Wisconsin,,6,0
2017,Wisconsin,,7,0
2018,Wisconsin,,8,0
2019,Wisconsin,,9,0
2020,Wisconsin,,10,0
2021,Wisconsin,,11,0
2022,Wisconsin,,12,0
2023,Wisconsin,,13,0
2024,Wisconsin,,14,0
2025,Wisconsin,,15,0
2015,Wyoming,,5,0
2016,Wyoming,,6,0
2017,Wyoming,,7,0
2018,Wyoming,,8,0
2019,Wyoming,,9,0
2020,Wyoming,,10,0
2021,Wyoming,,11,0
2022,Wyoming,,12,0
2023,Wyoming,,13,0
2024,Wyoming,,14,0
2025,Wyoming,,15,0
