year,team,conference,predicted_rating,conference_rank
2015,Clemson,ACC,24.0,1
2015,Florida State,ACC,23.2,2
2015,Stanford,ACC,22.8,3
2015,North Carolina,ACC,20.0,4
2015,Louisville,ACC,13.2,5
2015,California,ACC,12.1,6
2015,Virginia Tech,ACC,11.4,7
2015,Pittsburgh,ACC,11.1,8
2015,Miami,ACC,11.0,9
2015,NC State,ACC,9.6,10
2015,Georgia Tech,ACC,9.0,11
2015,Boston College,ACC,4.7,12
2015,Duke,ACC,3.4,13
2015,Virginia,ACC,1.4,14
2015,Syracuse,ACC,-3.9,15
2015,Wake Forest,ACC,-4.5,16
2015,SMU,ACC,-17.5,17
2015,Navy,American Athletic,12.1,1
2015,Memphis,American Athletic,8.0,2
2015,Temple,American Athletic,6.0,3
2015,South Florida,American Athletic,3.6,4
2015,East Carolina,American Athletic,-0.5,5
2015,Tulsa,American Athletic,-8.5,6
2015,Florida Atlantic,American Athletic,-9.8,7
2015,Tulane,American Athletic,-14.0,8
2015,Rice,American Athletic,-14.6,9
2015,UTSA,American Athletic,-17.7,10
2015,Army,American Athletic,-21.7,11
2015,Charlotte,American Athletic,-21.7,11
2015,North Texas,American Athletic,-25.0,13
2015,Baylor,Big 12,19.5,1
2015,TCU,Big 12,19.0,2
2015,West Virginia,Big 12,12.9,3
2015,Utah,Big 12,11.0,4
2015,Arizona State,Big 12,10.2,5
2015,Oklahoma State,Big 12,9.9,6
2015,BYU,Big 12,8.7,7
2015,Houston,Big 12,6.2,8
2015,Cincinnati,Big 12,5.3,9
2015,Arizona,Big 12,4.7,10
2015,Texas Tech,Big 12,4.5,11
2015,Kansas State,Big 12,2.6,12
2015,Iowa State,Big 12,-0.3,13
2015,Colorado,Big 12,-4.0,14
2015,UCF,Big 12,-15.5,15
2015,Kansas,Big 12,-21.3,16
2015,Idaho,Big Sky,-12.2,1
2015,Ohio State,Big Ten,29.5,1
2015,Michigan,Big Ten,19.7,2
2015,UCLA,Big Ten,18.6,3
2015,USC,Big Ten,16.8,4
2015,Oregon,Big Ten,15.9,5
2015,Michigan State,Big Ten,15.6,6
2015,Wisconsin,Big Ten,15.1,7
2015,Penn State,Big Ten,11.3,8
2015,Nebraska,Big Ten,11.1,9
2015,Washington,Big Ten,9.7,10
2015,Iowa,Big Ten,9.3,11
2015,Minnesota,Big Ten,8.1,12
2015,Illinois,Big Ten,2.7,13
2015,Indiana,Big Ten,0.4,14
2015,Northwestern,Big Ten,0.2,15
2015,Maryland,Big Ten,-1.6,16
2015,Purdue,Big Ten,-7.4,17
2015,Rutgers,Big Ten,-10.1,18
2015,Western Kentucky,Conference USA,10.8,1
2015,Louisiana Tech,Conference USA,8.3,2
2015,Middle Tennessee,Conference USA,-4.6,3
2015,Florida International,Conference USA,-16.6,4
2015,New Mexico State,Conference USA,-18.6,5
2015,Notre Dame,FBS Independents,22.4,1
2015,UConn,FBS Independents,-6.3,2
2015,Toledo,Mid-American,7.7,1
2015,Bowling Green,Mid-American,7.5,2
2015,Western Michigan,Mid-American,4.9,3
2015,Ohio,Mid-American,-0.5,4
2015,Akron,Mid-American,-0.8,5
2015,Central Michigan,Mid-American,-3.1,6
2015,Massachusetts,Mid-American,-9.5,7
2015,Buffalo,Mid-American,-10.3,8
2015,Kent State,Mid-American,-11.9,9
2015,Miami (OH),Mid-American,-13.5,10
2015,Ball State,Mid-American,-15.5,11
2015,Eastern Michigan,Mid-American,-19.7,12
2015,Air Force,Mountain West,4.7,1
2015,Northern Illinois,Mountain West,-0.9,2
2015,San José State,Mountain West,-4.5,3
2015,Nevada,Mountain West,-7.1,4
2015,New Mexico,Mountain West,-8.7,5
2015,UNLV,Mountain West,-16.2,6
2015,Hawai'i,Mountain West,-16.3,7
2015,Wyoming,Mountain West,-16.7,8
2015,UTEP,Mountain West,-19.5,9
2015,Boise State,Pac-12,11.8,1
2015,San Diego State,Pac-12,8.0,2
2015,Washington State,Pac-12,4.2,3
2015,Colorado State,Pac-12,0.5,4
2015,Utah State,Pac-12,-0.1,5
2015,Oregon State,Pac-12,-10.1,6
2015,Fresno State,Pac-12,-12.6,7
2015,Texas State,Pac-12,-15.5,8
2015,Alabama,SEC,29.0,1
2015,Ole Miss,SEC,27.0,2
2015,Oklahoma,SEC,22.7,3
2015,LSU,SEC,19.7,4
2015,Tennessee,SEC,19.5,5
2015,Arkansas,SEC,19.2,6
2015,Georgia,SEC,16.8,7
2015,Mississippi State,SEC,15.1,8
2015,Auburn,SEC,14.6,9
2015,Texas A&M,SEC,14.1,10
2015,Florida,SEC,13.8,11
2015,Texas,SEC,3.7,12
2015,Missouri,SEC,3.4,13
2015,South Carolina,SEC,3.4,13
2015,Kentucky,SEC,-0.3,15
2015,Vanderbilt,SEC,-1.6,16
2015,App State,Sun Belt,7.9,1
2015,Georgia Southern,Sun Belt,7.3,2
2015,Marshall,Sun Belt,3.5,3
2015,Southern Miss,Sun Belt,1.4,4
2015,Arkansas State,Sun Belt,0.5,5
2015,Georgia State,Sun Belt,-6.7,6
2015,Troy,Sun Belt,-7.0,7
2015,Louisiana,Sun Belt,-7.1,8
2015,South Alabama,Sun Belt,-10.4,9
2015,UL Monroe,Sun Belt,-14.7,10
2015,Old Dominion,Sun Belt,-14.8,11
2015,nationalAverages,,2.23,
2016,Clemson,ACC,28.7,1
2016,Florida State,ACC,24.0,2
2016,Louisville,ACC,22.9,3
2016,Miami,ACC,18.6,4
2016,Stanford,ACC,16.4,5
2016,North Carolina,ACC,15.9,6
2016,Virginia Tech,ACC,15.2,7
2016,Pittsburgh,ACC,13.1,8
2016,NC State,ACC,9.4,9
2016,Georgia Tech,ACC,7.8,10
2016,California,ACC,2.4,11
2016,Wake Forest,ACC,-0.6,12
2016,Boston College,ACC,-1.6,13
2016,Syracuse,ACC,-2.7,14
2016,Duke,ACC,-2.8,15
2016,Virginia,ACC,-3.8,16
2016,SMU,ACC,-10.8,17
2016,Temple,American Athletic,11.9,1
2016,South Florida,American Athletic,9.8,2
2016,Memphis,American Athletic,7.7,3
2016,Tulsa,American Athletic,7.4,4
2016,Navy,American Athletic,6.8,5
2016,East Carolina,American Athletic,-9.0,6
2016,Army,American Athletic,-9.9,7
2016,UTSA,American Athletic,-11.2,8
2016,Florida Atlantic,American Athletic,-14.1,9
2016,North Texas,American Athletic,-14.6,10
2016,Tulane,American Athletic,-14.6,10
2016,Rice,American Athletic,-16.5,12
2016,Charlotte,American Athletic,-20.9,13
2016,Oklahoma State,Big 12,16.4,1
2016,Baylor,Big 12,11.3,2
2016,West Virginia,Big 12,11.3,2
2016,TCU,Big 12,11.0,4
2016,Utah,Big 12,10.9,5
2016,Houston,Big 12,10.1,6
2016,Kansas State,Big 12,8.2,7
2016,BYU,Big 12,8.0,8
2016,Colorado,Big 12,6.3,9
2016,Texas Tech,Big 12,3.7,10
2016,Iowa State,Big 12,0.7,11
2016,UCF,Big 12,-2.2,12
2016,Arizona State,Big 12,-3.0,13
2016,Cincinnati,Big 12,-3.6,14
2016,Arizona,Big 12,-4.5,15
2016,Kansas,Big 12,-15.9,16
2016,Idaho,Big Sky,-8.6,1
2016,Washington,Big Ten,26.7,1
2016,Michigan,Big Ten,24.4,2
2016,USC,Big Ten,23.6,3
2016,Ohio State,Big Ten,22.4,4
2016,Penn State,Big Ten,19.0,5
2016,Wisconsin,Big Ten,16.1,6
2016,Minnesota,Big Ten,12.6,7
2016,Iowa,Big Ten,10.3,8
2016,Nebraska,Big Ten,10.3,8
2016,UCLA,Big Ten,9.1,10
2016,Michigan State,Big Ten,7.4,11
2016,Oregon,Big Ten,6.1,12
2016,Indiana,Big Ten,4.6,13
2016,Northwestern,Big Ten,2.9,14
2016,Maryland,Big Ten,-0.6,15
2016,Illinois,Big Ten,-6.7,16
2016,Purdue,Big Ten,-11.0,17
2016,Rutgers,Big Ten,-14.9,18
2016,Western Kentucky,Conference USA,15.5,1
2016,Louisiana Tech,Conference USA,3.1,2
2016,Middle Tennessee,Conference USA,-1.9,3
2016,New Mexico State,Conference USA,-17.2,4
2016,Florida International,Conference USA,-19.0,5
2016,Notre Dame,FBS Independents,15.7,1
2016,UConn,FBS Independents,-11.6,2
2016,Toledo,Mid-American,12.3,1
2016,Western Michigan,Mid-American,11.5,2
2016,Ohio,Mid-American,-2.1,3
2016,Akron,Mid-American,-5.6,4
2016,Central Michigan,Mid-American,-6.1,5
2016,Miami (OH),Mid-American,-6.1,5
2016,Bowling Green,Mid-American,-6.6,7
2016,Ball State,Mid-American,-7.0,8
2016,Eastern Michigan,Mid-American,-8.2,9
2016,Kent State,Mid-American,-12.0,10
2016,Massachusetts,Mid-American,-15.3,11
2016,Buffalo,Mid-American,-18.8,12
2016,Air Force,Mountain West,4.4,1
2016,Northern Illinois,Mountain West,-2.4,2
2016,New Mexico,Mountain West,-5.1,3
2016,Wyoming,Mountain West,-6.9,4
2016,Hawai'i,Mountain West,-10.1,5
2016,Nevada,Mountain West,-13.0,6
2016,San José State,Mountain West,-13.6,7
2016,UNLV,Mountain West,-14.3,8
2016,UTEP,Mountain West,-16.1,9
2016,Boise State,Pac-12,11.5,1
2016,San Diego State,Pac-12,11.4,2
2016,Washington State,Pac-12,6.2,3
2016,Colorado State,Pac-12,0.8,4
2016,Utah State,Pac-12,-4.4,5
2016,Oregon State,Pac-12,-4.6,6
2016,Fresno State,Pac-12,-16.9,7
2016,Texas State,Pac-12,-25.5,8
2016,Alabama,SEC,31.7,1
2016,Oklahoma,SEC,26.1,2
2016,LSU,SEC,25.3,3
2016,Tennessee,SEC,16.3,4
2016,Florida,SEC,15.4,5
2016,Auburn,SEC,15.3,6
2016,Ole Miss,SEC,12.4,7
2016,Texas A&M,SEC,12.0,8
2016,Texas,SEC,10.6,9
2016,Georgia,SEC,9.3,10
2016,Arkansas,SEC,7.9,11
2016,Mississippi State,SEC,5.4,12
2016,Missouri,SEC,-1.0,13
2016,Vanderbilt,SEC,-1.2,14
2016,Kentucky,SEC,-2.6,15
2016,South Carolina,SEC,-4.0,16
2016,App State,Sun Belt,9.2,1
2016,Troy,Sun Belt,1.1,2
2016,Southern Miss,Sun Belt,0.7,3
2016,Old Dominion,Sun Belt,-0.7,4
2016,Arkansas State,Sun Belt,-1.2,5
2016,Georgia Southern,Sun Belt,-3.9,6
2016,Louisiana,Sun Belt,-8.7,7
2016,South Alabama,Sun Belt,-9.4,8
2016,Georgia State,Sun Belt,-12.1,9
2016,Marshall,Sun Belt,-12.7,10
2016,UL Monroe,Sun Belt,-21.3,11
2016,nationalAverages,,1.95,
2017,Stanford,ACC,16.1,1
2017,Miami,ACC,15.83,2
2017,Florida State,ACC,15.75,3
2017,Clemson,ACC,14.61,4
2017,Virginia Tech,ACC,12.14,5
2017,Louisville,ACC,10.01,6
2017,Wake Forest,ACC,8.94,7
2017,NC State,ACC,8.2,8
2017,Georgia Tech,ACC,7.61,9
2017,North Carolina,ACC,5.59,10
2017,Syracuse,ACC,4.79,11
2017,Duke,ACC,4.59,12
2017,Pittsburgh,ACC,3.23,13
2017,California,ACC,0.66,14
2017,Virginia,ACC,-0.79,15
2017,Boston College,ACC,-1.53,16
2017,SMU,ACC,-1.79,17
2017,Memphis,American Athletic,13.09,1
2017,South Florida,American Athletic,10.82,2
2017,Florida Atlantic,American Athletic,3.02,3
2017,UTSA,American Athletic,-2.65,4
2017,Temple,American Athletic,-3.86,5
2017,North Texas,American Athletic,-5.06,6
2017,Tulane,American Athletic,-5.7,7
2017,Navy,American Athletic,-5.82,8
2017,East Carolina,American Athletic,-6.86,9
2017,Army,American Athletic,-9.11,10
2017,Tulsa,American Athletic,-9.99,11
2017,Charlotte,American Athletic,-13.98,12
2017,Rice,American Athletic,-14.43,13
2017,TCU,Big 12,15.72,1
2017,Utah,Big 12,12.38,2
2017,Oklahoma State,Big 12,10.03,3
2017,Houston,Big 12,8.79,4
2017,UCF,Big 12,7.91,5
2017,Kansas State,Big 12,7.72,6
2017,Iowa State,Big 12,5.55,7
2017,Arizona State,Big 12,3.06,8
2017,Colorado,Big 12,2.78,9
2017,West Virginia,Big 12,2.29,10
2017,Arizona,Big 12,2.13,11
2017,Texas Tech,Big 12,0.24,12
2017,Baylor,Big 12,0.05,13
2017,BYU,Big 12,-6.29,14
2017,Cincinnati,Big 12,-7.25,15
2017,Kansas,Big 12,-7.26,16
2017,Idaho,Big Sky,-13.78,1
2017,Michigan,Big Ten,19.52,1
2017,Ohio State,Big Ten,19.34,2
2017,USC,Big Ten,18.21,3
2017,Washington,Big Ten,17.94,4
2017,Penn State,Big Ten,14.18,5
2017,Iowa,Big Ten,12.67,6
2017,Northwestern,Big Ten,12.2,7
2017,Indiana,Big Ten,11.57,8
2017,Wisconsin,Big Ten,10.75,9
2017,Michigan State,Big Ten,9.3,10
2017,Oregon,Big Ten,8.35,11
2017,UCLA,Big Ten,5.74,12
2017,Nebraska,Big Ten,0.91,13
2017,Minnesota,Big Ten,-0.78,14
2017,Purdue,Big Ten,-1.73,15
2017,Rutgers,Big Ten,-2.96,16
2017,Illinois,Big Ten,-3.1,17
2017,Maryland,Big Ten,-4.0,18
2017,Middle Tennessee,Conference USA,-5.32,1
2017,Louisiana Tech,Conference USA,-5.74,2
2017,Florida International,Conference USA,-8.86,3
2017,Western Kentucky,Conference USA,-8.88,4
2017,New Mexico State,Conference USA,-11.32,5
2017,Notre Dame,FBS Independents,17.39,1
2017,UConn,FBS Independents,-12.33,2
2017,Toledo,Mid-American,2.84,1
2017,Ohio,Mid-American,0.18,2
2017,Western Michigan,Mid-American,-0.36,3
2017,Miami (OH),Mid-American,-2.74,4
2017,Bowling Green,Mid-American,-8.58,5
2017,Eastern Michigan,Mid-American,-10.84,6
2017,Buffalo,Mid-American,-13.89,7
2017,Akron,Mid-American,-14.31,8
2017,Massachusetts,Mid-American,-14.46,9
2017,Central Michigan,Mid-American,-14.54,10
2017,Ball State,Mid-American,-14.71,11
2017,Kent State,Mid-American,-14.75,12
2017,Wyoming,Mountain West,-3.63,1
2017,Northern Illinois,Mountain West,-4.8,2
2017,New Mexico,Mountain West,-8.06,3
2017,Air Force,Mountain West,-8.85,4
2017,San José State,Mountain West,-9.47,5
2017,Nevada,Mountain West,-13.59,6
2017,UNLV,Mountain West,-14.0,7
2017,Hawai'i,Mountain West,-14.02,8
2017,UTEP,Mountain West,-14.31,9
2017,Washington State,Pac-12,12.13,1
2017,Boise State,Pac-12,9.1,2
2017,Colorado State,Pac-12,2.75,3
2017,San Diego State,Pac-12,1.88,4
2017,Fresno State,Pac-12,-2.67,5
2017,Utah State,Pac-12,-2.83,6
2017,Oregon State,Pac-12,-9.85,7
2017,Texas State,Pac-12,-13.81,8
2017,Georgia,SEC,18.51,1
2017,Alabama,SEC,18.5,2
2017,LSU,SEC,17.97,3
2017,Florida,SEC,17.64,4
2017,Auburn,SEC,17.34,5
2017,Oklahoma,SEC,14.75,6
2017,Texas,SEC,14.05,7
2017,Mississippi State,SEC,11.0,8
2017,Texas A&M,SEC,10.86,9
2017,South Carolina,SEC,10.28,10
2017,Ole Miss,SEC,9.02,11
2017,Missouri,SEC,8.81,12
2017,Kentucky,SEC,2.79,13
2017,Arkansas,SEC,2.54,14
2017,Tennessee,SEC,2.22,15
2017,Vanderbilt,SEC,-0.53,16
2017,Arkansas State,Sun Belt,0.12,1
2017,Southern Miss,Sun Belt,-2.23,2
2017,Marshall,Sun Belt,-2.54,3
2017,Troy,Sun Belt,-3.06,4
2017,App State,Sun Belt,-3.73,5
2017,UL Monroe,Sun Belt,-7.41,6
2017,Georgia Southern,Sun Belt,-8.31,7
2017,South Alabama,Sun Belt,-8.47,8
2017,Old Dominion,Sun Belt,-11.53,9
2017,Louisiana,Sun Belt,-11.82,10
2017,Georgia State,Sun Belt,-13.53,11
2017,nationalAverages,,0.96,
2018,Clemson,ACC,20.71,1
2018,Miami,ACC,14.49,2
2018,Stanford,ACC,11.2,3
2018,NC State,ACC,9.01,4
2018,Duke,ACC,8.96,5
2018,Syracuse,ACC,7.82,6
2018,Virginia,ACC,6.35,7
2018,Florida State,ACC,6.16,8
2018,Virginia Tech,ACC,5.57,9
2018,California,ACC,5.26,10
2018,Wake Forest,ACC,5.02,11
2018,Pittsburgh,ACC,4.69,12
2018,Georgia Tech,ACC,4.65,13
2018,North Carolina,ACC,4.46,14
2018,Boston College,ACC,4.19,15
2018,Louisville,ACC,-3.74,16
2018,SMU,ACC,-5.9,17
2018,Memphis,American Athletic,2.97,1
2018,South Florida,American Athletic,2.03,2
2018,Temple,American Athletic,-0.63,3
2018,Florida Atlantic,American Athletic,-1.19,4
2018,Tulane,American Athletic,-1.46,5
2018,UAB,American Athletic,-2.33,6
2018,North Texas,American Athletic,-4.31,7
2018,Army,American Athletic,-5.33,8
2018,East Carolina,American Athletic,-6.73,9
2018,UTSA,American Athletic,-8.83,10
2018,Navy,American Athletic,-10.69,11
2018,Tulsa,American Athletic,-11.51,12
2018,Rice,American Athletic,-13.68,13
2018,Charlotte,American Athletic,-13.85,14
2018,Utah,Big 12,10.82,1
2018,TCU,Big 12,10.24,2
2018,Iowa State,Big 12,10.23,3
2018,Cincinnati,Big 12,8.24,4
2018,West Virginia,Big 12,7.89,5
2018,Oklahoma State,Big 12,7.78,6
2018,UCF,Big 12,7.71,7
2018,Arizona State,Big 12,7.42,8
2018,Texas Tech,Big 12,6.55,9
2018,Arizona,Big 12,5.26,10
2018,Baylor,Big 12,4.92,11
2018,Colorado,Big 12,4.23,12
2018,BYU,Big 12,3.34,13
2018,Kansas State,Big 12,3.27,14
2018,Houston,Big 12,2.87,15
2018,Kansas,Big 12,-4.05,16
2018,Ohio State,Big Ten,21.18,1
2018,Michigan,Big Ten,19.43,2
2018,Penn State,Big Ten,18.67,3
2018,Washington,Big Ten,17.56,4
2018,USC,Big Ten,16.11,5
2018,Michigan State,Big Ten,12.09,6
2018,Wisconsin,Big Ten,12.03,7
2018,Iowa,Big Ten,11.83,8
2018,Oregon,Big Ten,10.55,9
2018,Minnesota,Big Ten,9.74,10
2018,Nebraska,Big Ten,7.14,11
2018,Northwestern,Big Ten,6.0,12
2018,UCLA,Big Ten,5.24,13
2018,Indiana,Big Ten,4.74,14
2018,Purdue,Big Ten,4.02,15
2018,Maryland,Big Ten,3.69,16
2018,Illinois,Big Ten,-1.83,17
2018,Rutgers,Big Ten,-3.94,18
2018,Middle Tennessee,Conference USA,-3.82,1
2018,Florida International,Conference USA,-5.87,2
2018,Louisiana Tech,Conference USA,-7.41,3
2018,Western Kentucky,Conference USA,-11.23,4
2018,Liberty,Conference USA,-12.49,5
2018,New Mexico State,Conference USA,-14.34,6
2018,Notre Dame,FBS Independents,21.66,1
2018,UConn,FBS Independents,-9.41,2
2018,Toledo,Mid-American,1.74,1
2018,Buffalo,Mid-American,-3.02,2
2018,Miami (OH),Mid-American,-3.6,3
2018,Ohio,Mid-American,-4.59,4
2018,Eastern Michigan,Mid-American,-4.73,5
2018,Western Michigan,Mid-American,-7.08,6
2018,Bowling Green,Mid-American,-10.35,7
2018,Kent State,Mid-American,-10.95,8
2018,Central Michigan,Mid-American,-11.7,9
2018,Massachusetts,Mid-American,-12.02,10
2018,Akron,Mid-American,-13.49,11
2018,Ball State,Mid-American,-13.55,12
2018,Wyoming,Mountain West,-4.53,1
2018,Northern Illinois,Mountain West,-5.48,2
2018,Nevada,Mountain West,-5.7,3
2018,Air Force,Mountain West,-5.86,4
2018,San José State,Mountain West,-9.44,5
2018,UNLV,Mountain West,-9.8,6
2018,New Mexico,Mountain West,-10.2,7
2018,Hawai'i,Mountain West,-10.47,8
2018,UTEP,Mountain West,-14.59,9
2018,Boise State,Pac-12,8.8,1
2018,Washington State,Pac-12,7.72,2
2018,Utah State,Pac-12,4.77,3
