id,team,mascot,abbreviation,alternateNames,conference,division,classification,color,alternateColor,logos,twitter,location,lat,lon
2006,Akron,Zips,AKR,"['AKR', 'Akron']",Mid-American,East,fbs,#00285e,#84754e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png']",@ZipsFB,"{'id': 3768, 'name': 'InfoCision Stadium', 'city': 'Akron', 'state': 'OH', 'zip': '44399', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 41.0725534, 'longitude': -81.5083408, 'elevation': '321.2875061', 'capacity': 30000, 'constructionYear': 2009, 'grass': False, 'dome': False}",41.0725534,-81.5083408
333,Alabama,Crimson Tide,ALA,"['ALA', 'Alabama']",SEC,West,fbs,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",@AlabamaFTBL,"{'id': 3657, 'name': 'Bryant-Denny Stadium', 'city': 'Tuscaloosa', 'state': 'AL', 'zip': '35487', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 33.2082752, 'longitude': -87.5503836, 'elevation': '70.05136108', 'capacity': 101821, 'constructionYear': 1929, 'grass': True, 'dome': False}",33.2082752,-87.5503836
2010,Alabama A&M,Bulldogs,AAMU,"['AAMU', 'Alabama A&M']",SWAC,East,fcs,#790000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png']",@AAMUFB,"{'id': 3809, 'name': 'Louis Crews Stadium', 'city': 'Huntsville', 'state': 'AL', 'zip': '35810', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 34.7835363, 'longitude': -86.5784132, 'elevation': '214.9181061', 'capacity': 21000, 'constructionYear': 1996, 'grass': False, 'dome': False}",34.7835363,-86.5784132
2011,Alabama State,Hornets,ALST,"['ALST', 'Alabama St']",SWAC,East,fcs,#e9a900,#0a0a0a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png']",@BamaStateFB,"{'id': 4582, 'name': 'Hornet Stadium', 'city': 'Montgomery', 'state': 'AL', 'zip': '36106', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 32.3642223, 'longitude': -86.2896902, 'elevation': '79.35839844', 'capacity': 26500, 'constructionYear': 2012, 'grass': False, 'dome': False}",32.3642223,-86.2896902
2016,Alcorn State,Braves,ALCN,"['Alcorn', 'ALCN', 'Alcorn St']",SWAC,East,fcs,#4b0058,#46166a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png']",@BravesSports,"{'id': 3771, 'name': 'Jack Spinks Stadium', 'city': 'Lorman', 'state': 'MS', 'zip': '39096', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 31.873621, 'longitude': -91.13488, 'elevation': '72.25324249', 'capacity': 22500, 'constructionYear': 1992, 'grass': False, 'dome': False}",31.873621,-91.13488
8,Arkansas,Razorbacks,ARK,"['ARK', 'Arkansas']",SEC,West,fbs,#a41f35,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']",@RazorbackFB,"{'id': 3887, 'name': 'Razorback Stadium', 'city': 'Fayetteville', 'state': 'AR', 'zip': '72702', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 36.0680662, 'longitude': -94.1789534, 'elevation': '403.7972412', 'capacity': 80000, 'constructionYear': 1938, 'grass': False, 'dome': False}",36.0680662,-94.1789534
2029,Arkansas-Pine Bluff,Golden Lions,UAPB,"['Arkansas Pine Bluff', 'UAPB', 'AR-Pine Bluff']",SWAC,West,fcs,#e0aa0f,#eaaa00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2029.png']",@UAPBLionsRoar,"{'id': 3740, 'name': 'Golden Lion Stadium', 'city': 'Pine Bluff', 'state': 'AR', 'zip': '71601', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 34.253327, 'longitude': -92.0214031, 'elevation': '67.71961975', 'capacity': 16000, 'constructionYear': 2000, 'grass': False, 'dome': False}",34.253327,-92.0214031
2032,Arkansas State,Red Wolves,ARST,"['ARST', 'Arkansas St']",Sun Belt,East,fbs,#e81018,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png']",@AStateFB,"{'id': 3625, 'name': 'Centennial Bank Stadium', 'city': 'Jonesboro', 'state': 'AR', 'zip': '72404', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 35.8488977, 'longitude': -90.6677436, 'elevation': '89.52690887', 'capacity': 30382, 'constructionYear': 1974, 'grass': False, 'dome': False}",35.8488977,-90.6677436
2,Auburn,Tigers,AUB,"['AUB', 'Auburn']",SEC,West,fbs,#002b5c,#f26522,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png']",@AuburnFootball,"{'id': 3785, 'name': 'Jordan-Hare Stadium', 'city': 'Auburn', 'state': 'AL', 'zip': '36849', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 32.6025532, 'longitude': -85.4897479, 'elevation': '201.1737976', 'capacity': 87451, 'constructionYear': 1939, 'grass': True, 'dome': False}",32.6025532,-85.4897479
2050,Ball State,Cardinals,BALL,"['BALL', 'Ball State']",Mid-American,West,fbs,#DA0000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2050.png']",@BallStateFB,"{'id': 3919, 'name': 'Scheumann Stadium', 'city': 'Muncie', 'state': 'IN', 'zip': '47306', 'countryCode': 'US', 'timezone': 'America/Indiana/Indianapolis', 'latitude': 40.2159422, 'longitude': -85.4161148, 'elevation': '285.481781', 'capacity': 22500, 'constructionYear': 1967, 'grass': False, 'dome': False}",40.2159422,-85.4161148
239,Baylor,Bears,BAY,"['BAY', 'Baylor']",Big 12,South,fbs,#154734,#ffb81c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/239.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png']",@BUFootball,"{'id': 4727, 'name': 'McLane Stadium', 'city': 'Waco', 'state': 'TX', 'zip': '76704', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 31.5582015, 'longitude': -97.1156702, 'elevation': '117.0538101', 'capacity': 45140, 'constructionYear': 2014, 'grass': False, 'dome': False}",31.5582015,-97.1156702
103,Boston College,Eagles,BC,"['BC', 'Boston College']",ACC,Atlantic,fbs,#8c2232,#dbcca6,"['http://a.espncdn.com/i/teamlogos/ncaa/500/103.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/103.png']",@BCFootball,"{'id': 3615, 'name': 'Alumni Stadium (Chestnut Hill, MA)', 'city': 'Chestnut Hill', 'state': 'MA', 'zip': '2467 ', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 42.335104, 'longitude': -71.1664413, 'elevation': '39.82634354', 'capacity': 44500, 'constructionYear': 1957, 'grass': False, 'dome': False}",42.335104,-71.1664413
189,Bowling Green,Falcons,BGSU,"['Bowling Green State', 'BGSU', 'Bowling Green']",Mid-American,East,fbs,#2b1000,#492000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/189.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/189.png']",@BG_Football,"{'id': 3700, 'name': 'Doyt L. Perry Stadium', 'city': 'Bowling Green', 'state': 'OH', 'zip': '43403', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 41.3780114, 'longitude': -83.6225, 'elevation': '205.9057465', 'capacity': 24000, 'constructionYear': 1966, 'grass': False, 'dome': False}",41.3780114,-83.6225
2084,Buffalo,Bulls,BUF,"['BUF', 'Buffalo']",Mid-American,East,fbs,#041A9B,#ebebeb,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2084.png']",@UBFootball,"{'id': 3965, 'name': 'UB Stadium', 'city': 'Amherst', 'state': 'NY', 'zip': '14260', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 42.9991334, 'longitude': -78.7775113, 'elevation': '181.5759735', 'capacity': 30270, 'constructionYear': 1993, 'grass': False, 'dome': False}",42.9991334,-78.7775113
2117,Central Michigan,Chippewas,CMU,"['CMU', 'C Michigan']",Mid-American,West,fbs,#6a0032,#ffc82e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2117.png']",@CMU_Football,"{'id': 3786, 'name': 'Kelly/Shorts Stadium', 'city': 'Mount Pleasant', 'state': 'MI', 'zip': '48859', 'countryCode': 'US', 'timezone': 'America/Detroit', 'latitude': 43.5777313, 'longitude': -84.7709904, 'elevation': '240.9007721', 'capacity': 30255, 'constructionYear': 1972, 'grass': False, 'dome': False}",43.5777313,-84.7709904
228,Clemson,Tigers,CLEM,"['CLEM', 'Clemson']",ACC,Atlantic,fbs,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",@ClemsonFB,"{'id': 3836, 'name': 'Memorial Stadium (Clemson, SC)', 'city': 'Clemson', 'state': 'SC', 'zip': '29634', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 34.6787737, 'longitude': -82.8432428, 'elevation': '205.6452179', 'capacity': 81500, 'constructionYear': 1942, 'grass': True, 'dome': False}",34.6787737,-82.8432428
38,Colorado,Buffaloes,COLO,"['COLO', 'Colorado']",Big 12,North,fbs,#CFB87C,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/38.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png']",@CUBuffsFootball,"{'id': 3726, 'name': 'Folsom Field', 'city': 'Boulder', 'state': 'CO', 'zip': '80309', 'countryCode': 'US', 'timezone': 'America/Denver', 'latitude': 40.0094746, 'longitude': -105.266905, 'elevation': '1634.041138', 'capacity': 50183, 'constructionYear': 1924, 'grass': True, 'dome': False}",40.0094746,-105.266905
48,Delaware,Blue Hens,DEL,"['DEL', 'Delaware']",CAA,South,fcs,#033594,#e8ce31,"['http://a.espncdn.com/i/teamlogos/ncaa/500/48.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/48.png']",@DelawareFB,"{'id': 3695, 'name': 'Delaware Stadium', 'city': 'Newark', 'state': 'DE', 'zip': '19713', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 39.6617428, 'longitude': -75.7488224, 'elevation': '28.74350357', 'capacity': 22000, 'constructionYear': 1952, 'grass': False, 'dome': False}",39.6617428,-75.7488224
150,Duke,Blue Devils,DUKE,"['DUKE', 'Duke']",ACC,Coastal,fbs,#013088,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/150.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/150.png']",@DukeFootball,"{'id': 3982, 'name': 'Wallace Wade Stadium', 'city': 'Durham', 'state': 'NC', 'zip': '27708', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 35.9953688, 'longitude': -78.9417564, 'elevation': '103.0028152', 'capacity': 40004, 'constructionYear': 1929, 'grass': True, 'dome': False}",35.9953688,-78.9417564
151,East Carolina,Pirates,ECU,"['ECU', 'East Carolina']",Conference USA,East,fbs,#4b1869,#f0907b,"['http://a.espncdn.com/i/teamlogos/ncaa/500/151.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/151.png']",@ECUPiratesFB,"{'id': 3699, 'name': 'Dowdy-Ficklen Stadium', 'city': 'Greenville', 'state': 'NC', 'zip': '27858', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 35.5968486, 'longitude': -77.364564, 'elevation': '19.0564537', 'capacity': 50000, 'constructionYear': 1963, 'grass': True, 'dome': False}",35.5968486,-77.364564
2199,Eastern Michigan,Eagles,EMU,"['EMU', 'E Michigan']",Mid-American,West,fbs,#00331b,#f0f0f0,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2199.png']",@EMUFB,"{'id': 3912, 'name': 'Rynearson Stadium', 'city': 'Ypsilanti', 'state': 'MI', 'zip': '48197', 'countryCode': 'US', 'timezone': 'America/Detroit', 'latitude': 42.256126, 'longitude': -83.647285, 'elevation': '241.248764', 'capacity': 30200, 'constructionYear': 1969, 'grass': False, 'dome': False}",42.256126,-83.647285
57,Florida,Gators,FLA,"['FLA', 'Florida']",SEC,East,fbs,#0021a5,#fa4616,"['http://a.espncdn.com/i/teamlogos/ncaa/500/57.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/57.png']",@GatorsFB,"{'id': 3634, 'name': 'Ben Hill Griffin Stadium', 'city': 'Gainesville', 'state': 'FL', 'zip': '32653', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 29.6499357, 'longitude': -82.3485788, 'elevation': '44.97250748', 'capacity': 88548, 'constructionYear': 1930, 'grass': True, 'dome': False}",29.6499357,-82.3485788
52,Florida State,Seminoles,FSU,"['FSU', 'Florida St']",ACC,Atlantic,fbs,#782f40,#ceb888,"['http://a.espncdn.com/i/teamlogos/ncaa/500/52.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png']",@FSUFootball,"{'id': 3697, 'name': 'Doak Campbell Stadium', 'city': 'Tallahassee', 'state': 'FL', 'zip': '32306', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 30.4381692, 'longitude': -84.3044032, 'elevation': '19.55942535', 'capacity': 67277, 'constructionYear': 1950, 'grass': True, 'dome': False}",30.4381692,-84.3044032
61,Georgia,Bulldogs,UGA,"['UGA', 'Georgia']",SEC,East,fbs,#ba0c2f,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",@GeorgiaFootball,"{'id': 3917, 'name': 'Sanford Stadium', 'city': 'Athens', 'state': 'GA', 'zip': '30602', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 33.9498197, 'longitude': -83.3733813, 'elevation': '186.1120758', 'capacity': 92746, 'constructionYear': 1929, 'grass': True, 'dome': False}",33.9498197,-83.3733813
59,Georgia Tech,Yellow Jackets,GT,"['GT', 'Georgia Tech']",ACC,Coastal,fbs,#003057,#b3a369,"['http://a.espncdn.com/i/teamlogos/ncaa/500/59.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/59.png']",@GeorgiaTechFB,"{'id': 721, 'name': 'Bobby Dodd Stadium', 'city': 'Atlanta', 'state': 'GA', 'zip': '30332', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 33.7724449, 'longitude': -84.3928054, 'elevation': '279.300415', 'capacity': 55000, 'constructionYear': 1913, 'grass': False, 'dome': False}",33.7724449,-84.3928054
2755,Grambling,Tigers,GRAM,"['Grambling State', 'GRAM', 'Grambling']",SWAC,West,fcs,#ee8601,#ffd10a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2755.png']",@GSU_Tigers,"{'id': 3902, 'name': 'Eddie Robinson Stadium', 'city': 'Grambling', 'state': 'LA', 'zip': '71245', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 32.5258665, 'longitude': -92.7146412, 'elevation': '94.58428955', 'capacity': 19600, 'constructionYear': 1983, 'grass': False, 'dome': False}",32.5258665,-92.7146412
248,Houston,Cougars,HOU,"['HOU', 'Houston']",Conference USA,West,fbs,#c92a39,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/248.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/248.png']",@UHCougarFB,"{'id': 4728, 'name': 'TDECU Stadium', 'city': 'Houston', 'state': 'TX', 'zip': '77004', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 29.7219885, 'longitude': -95.3491623, 'elevation': '9.57440567', 'capacity': 40000, 'constructionYear': 2014, 'grass': False, 'dome': False}",29.7219885,-95.3491623
66,Iowa State,Cyclones,ISU,"['ISU', 'Iowa State']",Big 12,North,fbs,#822433,#fdca2f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']",@CycloneFB,"{'id': 3772, 'name': 'Jack Trice Stadium', 'city': 'Ames', 'state': 'IA', 'zip': '50011', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 42.0139977, 'longitude': -93.6357716, 'elevation': '274.9135437', 'capacity': 61500, 'constructionYear': 1975, 'grass': True, 'dome': False}",42.0139977,-93.6357716
2296,Jackson State,Tigers,JKST,"['JKST', 'Jackson St']",SWAC,East,fcs,#123297,#b5b7ba,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2296.png']",@GoJSUTigersFB,"{'id': 3976, 'name': 'Mississippi Veterans Memorial Stadium', 'city': 'Jackson', 'state': 'MS', 'zip': '39216', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 32.3300053, 'longitude': -90.1795578, 'elevation': '108.4067383', 'capacity': 44215, 'constructionYear': 1941, 'grass': True, 'dome': False}",32.3300053,-90.1795578
256,James Madison,Dukes,JMU,"['JMU', 'James Madison']",CAA,South,fcs,#450084,#b5a068,"['http://a.espncdn.com/i/teamlogos/ncaa/500/256.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/256.png']",@JMUFootball,"{'id': 3651, 'name': 'Bridgeforth Stadium', 'city': 'Harrisonburg', 'state': 'VA', 'zip': '22807', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 38.4352919, 'longitude': -78.8729349, 'elevation': '399.303009', 'capacity': 24877, 'constructionYear': 1975, 'grass': False, 'dome': False}",38.4352919,-78.8729349
2305,Kansas,Jayhawks,KU,"['KU', 'Kansas']",Big 12,North,fbs,#0051ba,#e8000d,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png']",@KU_Football,"{'id': 3833, 'name': 'Memorial Stadium', 'city': 'Lawrence', 'state': 'KS', 'zip': '66045', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 38.9629418, 'longitude': -95.2463686, 'elevation': '274.855957', 'capacity': 47000, 'constructionYear': 1921, 'grass': False, 'dome': False}",38.9629418,-95.2463686
2306,Kansas State,Wildcats,KSU,"['KSU', 'Kansas St']",Big 12,North,fbs,#3c0969,#e2e3e4,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2306.png']",@KStateFB,"{'id': 3636, 'name': 'Bill Snyder Family Stadium', 'city': 'Manhattan', 'state': 'KS', 'zip': '66502', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 39.2020096, 'longitude': -96.5938395, 'elevation': '328.0574646', 'capacity': 50000, 'constructionYear': 1968, 'grass': False, 'dome': False}",39.2020096,-96.5938395
2309,Kent State,Golden Flashes,KENT,"['KENT', 'Kent State']",Mid-American,East,fbs,#003976,#efab00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2309.png']",@KentStFootball,"{'id': 3696, 'name': 'Dix Stadium', 'city': 'Kent', 'state': 'OH', 'zip': '44242', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 41.1390935, 'longitude': -81.31346, 'elevation': '321.3641663', 'capacity': 25319, 'constructionYear': 1969, 'grass': False, 'dome': False}",41.1390935,-81.31346
96,Kentucky,Wildcats,UK,"['UK', 'Kentucky']",SEC,East,fbs,#0033a0,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/96.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/96.png']",@UKFootball,"{'id': 3683, 'name': 'Kroger Field', 'city': 'Lexington', 'state': 'KY', 'zip': '40506', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 38.0220905, 'longitude': -84.5053408, 'elevation': '307.4248962', 'capacity': 61000, 'constructionYear': 1973, 'grass': False, 'dome': False}",38.0220905,-84.5053408
309,Louisiana,Ragin' Cajuns,UL,"['UL Lafayette', 'UL', 'Louisiana']",Sun Belt,East,fbs,#ce181e,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/309.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/309.png']",@RaginCajunsFB,"{'id': 3666, 'name': 'Cajun Field', 'city': 'Lafayette', 'state': 'LA', 'zip': '70506', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 30.2158434, 'longitude': -92.0417371, 'elevation': '3.556508303', 'capacity': 41426, 'constructionYear': 1971, 'grass': False, 'dome': False}",30.2158434,-92.0417371
99,LSU,Tigers,LSU,"['Louisiana State', 'LSU', 'LSU']",SEC,West,fbs,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']",@LSUFootball,"{'id': 3958, 'name': 'Tiger Stadium (LA)', 'city': 'Baton Rouge', 'state': 'LA', 'zip': '70803', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 30.412035, 'longitude': -91.1838163, 'elevation': '7.640734673', 'capacity': 102321, 'constructionYear': 1924, 'grass': True, 'dome': False}",30.412035,-91.1838163
311,Maine,Black Bears,ME,"['ME', 'Maine']",CAA,North,fcs,#127dbe,#null,"['http://a.espncdn.com/i/teamlogos/ncaa/500/311.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/311.png']",@BlackBearsFB,"{'id': 3607, 'name': 'Alfond Stadium', 'city': 'Orono', 'state': 'ME', 'zip': '4469 ', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 44.905128, 'longitude': -68.6724718, 'elevation': '35.4817543', 'capacity': 10000, 'constructionYear': 1998, 'grass': False, 'dome': False}",44.905128,-68.6724718
276,Marshall,Thundering Herd,MRSH,"['MRSH', 'Marshall']",Conference USA,East,fbs,#00ae42,#be854c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/276.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/276.png']",@HerdFB,"{'id': 3775, 'name': 'Joan C. Edwards Stadium', 'city': 'Huntington', 'state': 'WV', 'zip': '25755', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 38.4247042, 'longitude': -82.4214412, 'elevation': '163.7328186', 'capacity': 38016, 'constructionYear': 1991, 'grass': False, 'dome': False}",38.4247042,-82.4214412
120,Maryland,Terrapins,MD,"['MD', 'Maryland']",ACC,Atlantic,fbs,#D5002B,#ffcd00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/120.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/120.png']",@TerpsFootball,"{'id': 3665, 'name': 'SECU Stadium', 'city': 'College Park', 'state': 'MD', 'zip': '20742', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 38.9903332, 'longitude': -76.9473792, 'elevation': '32.68748093', 'capacity': 51802, 'constructionYear': 1950, 'grass': False, 'dome': False}",38.9903332,-76.9473792
